,apartment_name,build_year,area,floor,dong,road_name,road_name_bonbun,jibun,deal_amount,deal_day
3043,이진테마빌,2000,33.6966,4,기장읍 서부리,배산로8번길,00065,402,"     7,900",2022.5.26
3044,이진테마빌,2000,59.0604,14,기장읍 서부리,배산로8번길,00051,402,"    14,300",2022.5.31
3045,이진캐스빌,2003,59.91,12,기장읍 대라리,차성서로,00051,240,"    19,800",2022.5.2
3046,동국에버리치,2013,63.38,7,기장읍 대라리,차성동로50번길,00005,89-2,"    15,400",2022.5.2
3047,담덕기장센텀,2014,48.54,4,기장읍 대라리,차성동로45번길,00031,126-2,"    12,600",2022.5.4
3048,모드니하이츠,2016,62.4008,13,기장읍 대라리,차성동로45번길,00032,125-6,"    18,000",2022.5.6
3049,이진캐스빌,2003,79.63,10,기장읍 대라리,차성서로,00051,240,"    26,500",2022.5.10
3050,씨엘늘채움,2007,84.8274,6,기장읍 대라리,차성남로,00008,925,"    23,400",2022.5.10
3051,이진캐스빌,2003,59.91,14,기장읍 대라리,차성서로,00051,240,"    20,100",2022.5.14
3052,월가아델리스,2015,74.4166,6,기장읍 대라리,차성남로,00023,1000,"    26,500",2022.5.20
3053,이진캐스빌,2003,59.91,12,기장읍 대라리,차성서로,00051,240,"    20,100",2022.5.21
3054,담덕기장센텀,2014,72.74,11,기장읍 대라리,차성동로45번길,00031,126-2,"    24,500",2022.5.21
3055,베로나,2014,49.997,4,기장읍 대라리,대청로,00024,165-14,"    13,500",2022.5.24
3056,에이원더시티,2019,25.1935,13,기장읍 대라리,차성남로89번길,00006,94-13,"    10,000",2022.5.25
3057,씨엘늘채움,2007,78.0341,7,기장읍 대라리,차성남로,00008,925,"    22,300",2022.5.26
3058,에스디빌라트,2019,58.5413,8,기장읍 대라리,대청로13번길,00030,306-2,"    23,000",2022.5.27
3059,우신네오빌,2003,130.04,2,기장읍 청강리,청강로,00076,144,"    34,700",2022.5.1
3060,우신네오빌,2003,130.04,22,기장읍 청강리,청강로,00076,144,"    39,250",2022.5.3
3061,현대,1993,84.6,5,기장읍 청강리,기장대로,00563,18-2,"    38,000",2022.5.5
3062,씨앤스타빌,2014,49.96,10,기장읍 청강리,기장대로,00470,258,"    12,400",2022.5.11
3063,청강주공,1990,32.76,1,기장읍 청강리,청강로,00006,333,"    21,500",2022.5.18
3064,현대,1993,59.95,15,기장읍 청강리,기장대로,00563,18-2,"    27,900",2022.5.18
